"","species","mean_depth","min_depth","max_depth","lower95_depth","upper95_depth","range_depth","range95_depth","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon","n_year","p","min_n","mean_n"
"51","northern rockfish",140.659602649007,42,522,66,252,480,186,56.0579359346738,-156.234386698286,110.025473247228,55.387263173904,-157.431765480588,13,0.160210144627563,74,116.153846153846
"52","octopus unid.",341.622448979592,24,977,60.65,888.75,953,828.1,56.9667598197743,-150.386322255108,261.302677127499,55.9465396241864,-156.578209825723,13,0.030908047886132,9,22.6153846153846
"53","olive rockfish",NA,Inf,-Inf,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,0,0,0,0
"54","Pacific cod",121.28984532616,4,369,29.675,246.325,365,216.65,56.402789817661,-154.343971703931,96.7810764543786,56.2510687663543,-156.163284106938,13,0.632363803107829,267,457.538461538462
"55","Pacific grenadier",719.146551724138,374,977,466.625,927.625,603,461,56.6489771934068,-147.54307112533,821.174548529806,56.8213450157646,-151.157114277437,11,0.0117056551997295,0,8.92307692307692
"56","Pacific hake",280.721893491124,64,726,118.7,539.725,662,421.025,56.3873046760001,-136.471646389003,235.091611039921,56.0881866991553,-135.185916111703,12,0.0342237028283295,0,26
"57","Pacific halibut",122.133295758771,4,641,28,283,637,255,56.573174348488,-153.98871697762,96.3060707270984,56.7496396424964,-153.663974324303,13,0.758119079289522,417,545.923076923077
"58","Pacific herring",115.832880434783,8,645,20.375,265.625,637,245.25,58.3872900164262,-146.045985998454,69.0880981816076,58.0988879901185,-145.09634225281,13,0.0804761761026491,20,56.6153846153846
"59","Pacific ocean perch",185.312316715543,18,903,77,388.625,885,311.625,56.8118000125177,-150.253790854633,187.82893833365,56.4098166355342,-151.761128964344,13,0.441668110590008,241,314.769230769231
"60","Pacific sanddab",91.5769230769231,40,283,42.85,163.25,243,120.4,56.8329281383287,-136.302885382264,75.7776088916275,56.9047600876023,-135.68963563568,11,0.00834892455699572,0,6
"61","Pacific sandfish",59.0635593220339,8,372,15,149.375,364,134.375,58.3520221757639,-150.567605324911,45.8852588677736,58.4090984507763,-149.445160941897,13,0.0252942219559277,11,18.1538461538462
"62","Pacific sleeper shark",160.62962962963,33,433,40.35,296.95,400,256.6,56.724444603618,-155.837076567618,158.647417660431,57.000834536716,-155.84908756588,13,0.01341996636727,1,10.3846153846154
"63","Pacific staghorn sculpin",96.6666666666667,22,375,23.4,356.8,353,333.4,56.3927025719696,-153.405333578304,72.8673184278585,56.9024649896658,-153.594859651028,8,0.00170893181415462,0,1.15384615384615
"64","Pacific tomcod",47.1115241635688,8,140,15,91.9,132,76.9,58.1132820007896,-150.528437857757,44.6190481923139,58.2105231458553,-147.619657057492,13,0.0284076874344816,9,20.6923076923077
"65","petrale sole",140.687096774194,40,318,46.45,234.275,278,187.825,56.4845068888902,-136.182878213654,127.238777449535,56.2696214913859,-135.358794836653,13,0.0332332380808677,9,23.8461538461538
"66","plain sculpin",53.7751479289941,12,155,18.2,119.8,143,101.6,56.8094730679395,-156.819270597774,49.1373985098835,57.196553415188,-155.483352613164,13,0.0177763707196294,3,13
"67","popeye grenadier",635.522321428571,344,977,420.95,911.825,633,490.875,56.2448382700034,-152.002597575814,718.875609851114,55.9259603437558,-154.003429250928,10,0.0232960628294376,0,17.2307692307692
"68","prickleback unid.",155.484790874525,11,376,26,291,365,265,57.0639356687078,-154.09061317511,156.891445661486,57.125576439116,-154.07736792053,13,0.055584554329788,24,40.4615384615385
"69","prowfish",145.046075085324,24,675,68.625,290.25,651,221.625,56.7023989301864,-152.931785590021,138.4678370846,56.043625439708,-155.601789912935,13,0.0624956917105556,23,45.0769230769231
"70","Puget Sound rockfish",81.5,79,84,79.125,83.875,5,4.75,57.9927706506867,-149.630965867863,82.9938920856554,57.1305323408775,-151.46239485973,2,0.000191287138023822,0,0.153846153846154
"71","pygmy rockfish",158.014084507042,61,372,81,203.5,311,122.5,56.8838934652975,-139.253488856593,135.067487662581,57.5615483909557,-143.938112422028,12,0.00719568914598915,0,5.46153846153846
"72","quillback rockfish",93.6744186046512,41,376,59.125,138.5,335,79.375,57.6163962044822,-142.982133129364,92.2544081968825,57.7767304460782,-141.705255828629,13,0.00940551189545724,3,6.61538461538461
"73","redbanded rockfish",227.780510879849,84,441,147.4,350.6,357,203.2,57.0179896090944,-143.088985816181,227.842136699363,56.524901206519,-139.661975507755,13,0.113712876024307,64,81.3076923076923
"74","redstripe rockfish",183.62,60,351,81.475,261.05,291,179.575,56.3642978562726,-140.552705682302,181.435438671649,56.4078414793854,-139.722723181789,13,0.0331798073456467,14,23.0769230769231
"75","rex sole",175.861607862091,16,724,59,417.849999999999,708,358.849999999999,56.8830052257381,-151.023964589842,172.391720875861,56.5382484636696,-152.13158748593,13,0.664189457654393,338,477.461538461538
"76","rock sole unid.",98.9826989619377,20,291,37,176.575,271,139.575,56.0259942422485,-157.528763148644,76.6631025126259,55.6876821522478,-158.92641637039,7,0.111092475339249,1,82.5714285714286
"77","rosethorn rockfish",217.330827067669,108,343,141.875,326.375,235,184.5,56.420072248314,-136.59994849541,209.262542904439,56.3736802001294,-136.446537857406,13,0.028011243583503,10,20.4615384615385
"78","rougheye and blackspotted rockfish unid.",223.334014996592,60,797,95.65,422.7,737,327.05,57.4640334905694,-149.711868961831,291.691731535201,57.1001185081408,-149.939629189114,10,0.145057675449125,0,112.846153846154
"79","rougheye rockfish",226.724245577523,51,854,101,431,803,330,57.6630552846395,-148.829582114663,278.14171554439,57.4583272215976,-146.180111814883,7,0.109737857503052,0,73.9230769230769
"80","roughtail skate",735.15625,211,946,314.85,929.725,735,614.875,56.7207625578949,-149.209678749659,727.579486626149,57.2886466580938,-148.458926079978,7,0.00318125178711117,0,2.46153846153846
"81","sablefish",228.528836754643,11,977,59,644.725,966,585.725,57.2034741710187,-149.345183122531,314.16792465892,57.2784157455034,-150.189682372582,13,0.438777265418089,133,314.769230769231
"82","salmon shark",146.9375,22,221,22.775,217.125,199,194.35,58.3287256960711,-151.258987756963,132.943054007433,58.1251574583058,-151.974396512618,9,0.00333299959109936,0,2.46153846153846
"83","sand lance unid.",67.3758389261745,19,294,21.4,210.699999999999,275,189.299999999999,56.690790875114,-155.248739783537,61.3314856416521,56.874284410671,-154.528644835212,13,0.0155769421866635,5,11.4615384615385
"84","sand sole",36.3362068965517,4,111,10.375,78.25,107,67.875,57.2739004455667,-153.922734465831,35.3258676094346,56.9160597816826,-154.273815856076,13,0.0124628665276319,2,8.92307692307692
"85","scissortail sculpin",89.7283950617284,12,243,52.05,151.8,231,99.75,55.5152674354133,-158.351518534227,94.709183182413,55.5609250669883,-158.34884481074,13,0.0249413859180942,1,18.6923076923077
"86","sculpin unid.",109.652014652015,15,525,23,318.75,510,295.75,56.4123485796528,-153.9115393837,82.0302630684731,55.5503249088671,-158.268662138359,13,0.0572777916660657,20,42
"87","shark unid.",313.5,41,586,54.625,572.375,545,517.75,57.5178379983895,-137.112899347378,41.1021052514986,59.1305461963826,-138.784773029933,2,0.000192587973368247,0,0.153846153846154
"88","sharpchin rockfish",192.184885290148,75,476,110,319,401,209,57.260432047611,-142.112333368457,204.076311710304,56.8194732798933,-138.830339734647,13,0.0776845565282872,28,57
"89","shortfin eelpout",164.580301685892,15,733,46,338.85,718,292.85,57.753676597438,-150.960888755532,123.3880439713,56.8880778327857,-153.882166691537,13,0.118980061853198,48,86.6923076923077
"90","shorthorn (=warty) sculpin",71.6666666666667,12,119,15.6,117.25,107,101.65,55.0391158071848,-162.594275561008,60.7938973306754,55.2838542843785,-162.010120384409,3,0.000343868655343638,0,0.230769230769231
"91","shortraker rockfish",330.167725540025,59,632,152.95,526.35,573,373.4,56.8473847715542,-148.908567892522,324.706880875411,57.3312920116301,-147.386969927238,13,0.0837100199861075,45,60.5384615384615
"92","shortspine thornyhead",290.49671592775,41,977,119.875,716.25,936,596.375,56.9780546636204,-147.727629062808,338.717759079876,56.6044607747755,-149.100062580835,13,0.259619578921483,123,187.384615384615
"93","shrimp unid.",208.741271591327,12,925,38,549,913,511,57.1405165493764,-148.642590539786,202.505232580003,57.6241767646584,-144.221444570973,13,0.294381661175877,141,209.307692307692
"94","sidestripe shrimp",212.488567428838,35,465,110.55,349.45,430,238.9,57.5997584843633,-149.388150170273,207.353241460658,58.0363925223759,-149.930964176031,13,0.226979534904862,105,164.846153846154
"95","silvergray rockfish",187.405714285714,59,379,79,298.525,320,219.525,56.7640129898566,-139.456759592361,198.364954463309,55.7397114139164,-136.037503622707,13,0.0754308370673798,42,53.8461538461538
"96","skate unid.",261.209677419355,20,917,61.05,704.25,897,643.2,57.0709971994196,-146.02253391328,165.535430699362,57.3355399681089,-150.284538354872,9,0.00644700242585144,0,4.76923076923077
"97","slender sole",210.050314465409,59,567,104.85,332.15,508,227.3,57.30706095939,-140.050480644903,198.882331087,57.0353799032921,-137.791128692929,13,0.0860275077273125,39,61.1538461538462
"98","smelt unid.",67.2234042553192,8,294,13.65,221.425,286,207.775,58.4234027629642,-148.815221026367,72.0109876100011,58.7852892021056,-148.023345052744,13,0.0104830348512209,3,7.23076923076923
"99","sockeye salmon",137.781818181818,26,399,28.05,371.3,373,343.25,56.4571742784829,-151.601054865659,110.906610698712,56.224721923068,-155.222659997589,10,0.0056277280138275,0,4.23076923076923
"100","southern rock sole",82.6250825082508,4,470,26,158,466,132,55.9834814338679,-156.440016647783,63.0570825268378,56.0185436159873,-157.126116248236,11,0.382107602469874,188,275.454545454545
"101","speckled sanddab",NA,Inf,-Inf,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,0,0,0,0
"102","spectacled sculpin",171.071428571429,63,255,107.25,246.75,192,139.5,54.2759893701951,-161.927017874982,190.469776288174,52.7514998882586,-169.133001101722,13,0.0132729554540668,5,9.69230769230769
"103","spiny dogfish",129.957696827262,4,584,25.525,263.95,580,238.425,58.2340550987552,-146.584127774811,91.6193110879686,58.8507975478571,-145.460902664648,13,0.179957580839513,58,130.923076923077
"104","spinyhead sculpin",155.895287958115,23,443,61,279.375,420,218.375,57.659176479541,-152.014071632473,149.725124214742,57.5722493579742,-152.092288937555,13,0.122713508860279,55,88.1538461538462
"105","splitnose rockfish",235.756097560976,161,330,163,324,169,161,56.4962771642861,-137.06023495185,246.872072133041,55.1350916636406,-134.746107420284,11,0.00424964720320289,0,3.15384615384615
"106","spotted ratfish",181.086553323029,40,542,69.3,375,502,305.7,55.9050547112487,-134.74777396552,114.012504447364,55.8079407359197,-134.255839298611,13,0.0692037057254247,32,49.7692307692308
"107","squid unid.",237.583076923077,22,947,63,719.875,925,656.875,56.7504624975165,-148.574691457342,355.097915122501,56.4249491462506,-150.618541281731,13,0.0704524010407469,38,50
"108","starry flounder",48.1824104234528,4,240,15,113,236,98,57.1240329720248,-155.454180303449,40.9033148081624,56.9675465090275,-155.914696684754,13,0.0651729728268915,18,47.2307692307692
"109","thorny sculpin",167.789473684211,84,366,86.7,321.45,282,234.75,56.7625786009356,-152.232756011505,149.11440014674,57.0099388619771,-151.913476482873,10,0.00200704273465041,0,1.46153846153846
"110","threaded sculpin",37.6666666666667,15,77,15,75.4,62,60.4,55.8861310971025,-159.221209836499,45.4245517443196,55.7222655749883,-158.953797297368,7,0.000915637850390814,0,0.692307692307692
"111","tiger rockfish",118.666666666667,75,172,76.7,168.85,97,92.15,55.7424150870004,-157.089558980682,103.732445494531,56.3629159432223,-156.175288881442,3,0.000344103141532225,0,0.230769230769231
"112","vermilion rockfish",84,84,84,84,84,0,0,56.5498312340974,-152.695827462373,84,56.5498312340974,-152.695827462373,1,9.93838203140529e-05,0,0.0769230769230769
"113","walleye pollock",149.85528970885,4,903,35,330,899,295,56.7960841115503,-152.354333694644,121.821852112693,56.1610548099625,-156.200194335574,13,0.745718398958735,424,533.692307692308
"114","whiteblotched skate",182.645161290323,72,247,99.75,244,175,144.25,53.2550600482182,-166.920229749155,181.805974226735,53.3780929264433,-166.370214824653,9,0.00325499115116934,0,2.38461538461538
"115","whitebrow skate",633,514,839,514.375,825.575,325,311.2,57.256129302468,-152.304701389381,642.510983414283,57.4648259030807,-151.561192192439,3,0.000425154054366456,0,0.307692307692308
"116","widow rockfish",207.205882352941,114,320,132.975,312.575,206,179.6,56.4992408064985,-138.969537574728,201.733041012978,56.2904989903019,-137.239650612144,11,0.003655238713661,0,2.61538461538462
"117","yellow Irish lord",86.2168431669188,10,399,25,188,389,163,55.7308429307323,-158.956792453356,75.4266794493303,55.3711039128719,-160.422729090241,13,0.212582084046863,113,152.538461538462
"118","yelloweye rockfish",135.728682170543,63,215,76.7,203,152,126.3,56.8985829081223,-148.584612345416,137.751186026105,57.0963230399992,-147.110524220693,13,0.0276109969214289,10,19.8461538461538
"119","yellowfin sole",59.2252252252252,10,188,17.7,126.3,178,108.6,56.4524983975439,-157.829600466848,50.4880573979681,56.0466769439852,-159.073682721039,13,0.0588075687626012,27,42.6923076923077
"120","yellowmouth rockfish",225.105263157895,106,329,114.325,325.3,223,210.975,55.4979137080614,-135.635335381609,224.55547516438,55.3016321034756,-134.547239998122,11,0.00394917075443608,0,2.92307692307692
"121","yellowtail rockfish",159.921875,47,291,55.175,276.85,244,221.675,56.4900050643534,-136.967751313164,159.365927730555,55.3657436471642,-134.973598629289,11,0.00714340250676479,0,4.92307692307692
