"","species","depth_effect","covariate","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"79","petrale sole",FALSE,"temp",-0.281284983016294,0.0249268811713138,2.76109463208624,0.0464692475205215,3.04237961510253,0.054209940210244,2.99573227355399,0,0.567851324441855,0.0154002832175522
"80","flathead sole",FALSE,"temp",-1.09519113281146,0.170518403433484,2.13955415117137,0.360386307992309,3.23474528398283,0.4835768683102,2.99573227355399,0,0.617721551623668,0.114297107598343
"81","english sole",FALSE,"temp",-0.149739667599799,0.0341753931721039,3.54989203997711,0.073825431876937,3.69963170757691,0.0773675535846297,2.99573227355399,0,0.707757748221144,0.0122228750650438
"82","sablefish",FALSE,"temp",-3.68245764873023,0.146246077030629,1.7339623545488,0.0576830800933764,5.41642000327903,0.170397575731678,2.99573227355399,0,0.863656221729258,0.00857859961722577
"83","slender sole",FALSE,"temp",-0.780605728925637,0.0241792880467102,2.08952477109618,0.0234502981540296,2.87013050002182,0.0329437819958544,2.99573227355399,0,0.514424569718928,0.011147013083622
"84","dover sole",FALSE,"temp",-2.03281447458484,0.031502993346783,1.51400700814098,0.0209764553713679,3.54682148272582,0.0394819991473165,2.99573227355399,0,0.682033526102294,0.00707898726363665
"85","blackbelly eelpout",FALSE,"temp",-0.799653569630177,0.0733537068626985,2.95800196221844,0.0881968001475855,3.75765553184862,0.120538477072976,2.99573227355399,0,0.716713381376719,0.0181745970563749
"86","dungeness crab",FALSE,"temp",-0.463895081026331,0.0580236288480122,4.49760953155996,0.184968830982205,4.96150461258629,0.188599508131561,2.99573227355399,0,0.837507547911145,0.0123535092404457
"87","spotted ratfish",FALSE,"temp",-0.395666087304581,0.0226410779685583,2.89025202370253,0.0470694811450915,3.28591811100712,0.0513123748629807,2.99573227355399,0,0.62953556707199,0.0115702273846242
"88","big skate",FALSE,"temp",-0.480046111076094,0.0940751386996591,4.08524106091422,0.256854449216653,4.56528717199031,0.277487018847014,2.99573227355399,0,0.808078429558036,0.0233307314208495
"89","pacific sanddab",FALSE,"temp",0.170249920032048,0.0376315348420986,3.90474050079176,0.0992440229735084,3.73449058075972,0.0984492164147961,2.99573227355399,0,0.713188041854681,0.0151219621135345
"90","rex sole",FALSE,"temp",-1.10278955070574,0.026133976237679,2.01373390424951,0.0272045718819309,3.11652345495525,0.040391742946941,2.99573227355399,0,0.588168850715395,0.010675085979538
"91","arrowtooth flounder",FALSE,"temp",-1.09492710950672,0.0395354663976901,2.05008702400544,0.0495270141206172,3.14501413351216,0.0688622573065128,2.99573227355399,0,0.595596609194488,0.0177093832784632
"92","longnose skate",FALSE,"temp",-1.26552028354064,0.0270556253502122,1.98972837924628,0.0273230074111901,3.25524866278692,0.0418850834530833,2.99573227355399,0,0.622521993365126,0.00971397238579567
"93","sandpaper skate",FALSE,"temp",-1.23688060534982,0.0303162333068071,1.54904487756832,0.0299792674834438,2.78592548291814,0.0456492917472789,2.99573227355399,0,0.484627786608612,0.0168894514026279
"94","lingcod",FALSE,"temp",-0.00663083414905341,0.0319397926862312,3.14912251015205,0.0734772685188953,3.15575334430111,0.06925158538528,2.99573227355399,0,0.598344342043199,0.0176283049134415
"95","greenspotted rockfish",FALSE,"temp",0.400610024010714,0.0734293039544489,3.31353318114116,0.154271708585552,2.91292315713045,0.140403239368576,2.99573227355399,0,0.528586587102808,0.0454443640852952
"96","canary rockfish",FALSE,"temp",-0.103965282211719,0.0528190928477948,2.22217230353893,0.10483695772288,2.32613758575065,0.102641469338109,2.99573227355399,0,0.260753641370858,0.0652389032509069
"97","widow rockfish",FALSE,"temp",-0.317486680901358,0.0840529854701111,2.38559696199821,0.165780811495976,2.70308364289957,0.169368225744621,2.99573227355399,0,0.452554333480106,0.0686030574552226
"98","yellowtail rockfish",FALSE,"temp",-0.0882585517045921,0.160480202151454,3.75928086398179,0.406612906055725,3.84753941568638,0.326943678000172,2.99573227355399,0,0.729794716934911,0.0459212496694424
"99","kelp greenling",FALSE,"temp",-0.166759893141031,0.217920368550563,3.73521497900659,0.689222643060153,3.90197487214762,0.651320122125516,2.99573227355399,0,0.737281258701409,0.0877063580745611
"100","california slickhead",FALSE,"temp",-2.39105403348521,0.0318830004579074,-0.717139292579372,0.0124338139806484,1.67391474090583,0.031650411126036,2.99573227355399,0,-0.42755655831129,0.0539845320338965
"101","twoline eelpout",FALSE,"temp",-2.39893990169405,0.0452932921323025,-0.546358885699055,0.0167913779260025,1.852581015995,0.045198048910466,2.99573227355399,0,-0.165482005403168,0.0568693214814015
"102","brown cat shark",FALSE,"temp",-2.13067901117366,0.0342208023408082,0.532267740590223,0.0191433179955302,2.66294675176389,0.0384681800754994,2.99573227355399,0,0.435927371015109,0.0162968692130838
"103","roughtail skate",FALSE,"temp",-5.3728450377194,0.555071133855702,-1.2271739037741,0.226471663567795,4.14567113394529,0.337088690641958,2.99573227355399,0,0.767260393269629,0.0378485831405556
"104","deepsea sole",FALSE,"temp",-2.75983944761401,0.0520977830224771,-0.48920715208118,0.0169142803761512,2.27063229553283,0.0540729636257635,2.99573227355399,0,0.224170355256911,0.0369513005188167
"105","pacific grenadier",FALSE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","giant grenadier",FALSE,"temp",-3.39181179146276,0.138969886424611,-1.10627914280458,0.0419361684424927,2.28553264865818,0.103708365328943,2.99573227355399,0,0.234253302856778,0.069493068290566
"107","lanternfish unident.",FALSE,"temp",-3.46270535923721,0.178399744453533,0.98670540208492,0.0585869683302402,4.44941076132213,0.193697897600514,2.99573227355399,0,0.797951798211111,0.0175916830339318
"108","snakehead eelpout",FALSE,"temp",-3.04331321570779,0.0935433594544958,-0.58330148758806,0.0307146617546103,2.46001172811973,0.0830628716615569,2.99573227355399,0,0.339024082879569,0.0446360130300015
"109","grooved tanner crab",FALSE,"temp",-3.04151218480427,0.0809187809767691,-0.147447172649452,0.0283461367537376,2.89406501215482,0.0699908069450208,2.99573227355399,0,0.522422975262465,0.023099689329297
"110","pacific flatnose",FALSE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","longspine thornyhead",FALSE,"temp",-2.82451953509266,0.0446248386821104,-0.0399328036591071,0.0164433498551924,2.78458673143355,0.0444065789850273,2.99573227355399,0,0.484132114368547,0.0164533772645959
"112","shortspine thornyhead",FALSE,"temp",-2.34434230081525,0.0416270915641221,0.878516238965794,0.0233811693043081,3.22285853978104,0.0514272981470944,2.99573227355399,0,0.614896465826015,0.0122902287053597
"113","bigfin eelpout",FALSE,"temp",-1.09318909783615,0.0250049221142453,1.14083619025786,0.0222260650246656,2.23402528809401,0.0333145528512779,2.99573227355399,0,0.198536365161463,0.0239034023146493
