"","species","covariate","depth_effect","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"18","Pacific sandfish","temp",TRUE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.0135289842859,0.0151279172529544
"19","sand lance unid.","temp",TRUE,-1.99863321049864,0.790682086082279,6.80987534916195,1.60637531232802,8.80850855966059,1.97575106239612,2.99573227355399,0,0.948446847241185,0.0231267746731971
"20","spectacled sculpin","temp",TRUE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.04069627126181,0.0851027092967039
"21","yellow Irish lord","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","darkfin sculpin","temp",TRUE,-3.31196874665544,0.787603390102013,4.69137915953065,2.0628102522721,8.00334790618609,2.68766414808377,2.99573227355399,0,0.937552278215139,0.0419420734767637
"23","scissortail sculpin","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","armorhead sculpin","temp",TRUE,-7.2726372512416,5.43240031083963,7.87008084659654,4.49628164590358,15.1427180978381,9.27568839754452,2.99573227355399,0,0.98255574942336,0.0213709892282414
"25","spinyhead sculpin","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","bigmouth sculpin","temp",TRUE,-22.3173831553827,58.4866615291167,6.85825505683374,4.47055495480484,29.1756382122164,56.3692778745469,2.99573227355399,0,0.995300850506026,0.018158140135488
"27","great sculpin","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","plain sculpin","temp",TRUE,-8.3291159285224,3.64654118081984,4.60288804988294,1.5342571273646,12.9320039784053,4.16478247362939,2.99573227355399,0,0.976081808857382,0.0154058200783165
"29","Pacific sleeper shark","temp",TRUE,-2.88980557948947,0.638241191506697,1.98997197130528,0.44002494968986,4.87977755079475,0.886760045699536,2.99573227355399,0,0.83201908526923,0.0610514565767644
"30","big skate","temp",TRUE,-1.80521368106335,0.89672832807602,14.7313867566318,4.43161176078458,16.5366004376952,4.03956096710254,2.99573227355399,0,0.985372586944105,0.00714636929795908
"31","longnose skate","temp",TRUE,-2.72548844988984,0.330514046793815,6.49382306583529,0.791156530964177,9.21931151572514,0.977970851775274,2.99573227355399,0,0.9529387983983,0.009984364523854
"32","spiny dogfish","temp",TRUE,0.151537553828589,0.53927856606517,12.6436280308887,2.08141874960618,12.4920904770601,1.68872239333128,2.99573227355399,0,0.974367571818311,0.00693015401151018
"33","","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","prickleback unid.","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Bering skate","temp",TRUE,-18.4645385068449,26.2695695830655,4.24019489033444,3.97409713263485,22.7047333971793,22.9420916181025,2.99573227355399,0,0.992240617198035,0.0156810007876784
"36","Alaska skate","temp",TRUE,-4.65034186808177,1.35499283138354,2.60413359191699,0.621690396805528,7.25447545999876,1.66104592750099,2.99573227355399,0,0.923993985628483,0.034805957049143
"37","spotted ratfish","temp",TRUE,0.24293156687109,0.857495286921879,11.0274813728563,3.20477110593674,10.7845498059853,2.59388080666579,2.99573227355399,0,0.965608117339046,0.0165437493347832
"38","Aleutian skate","temp",TRUE,-6.46731764243532,2.10580174808248,3.69658619132795,0.912859252269746,10.1639038337633,2.80041006822912,2.99573227355399,0,0.961279683664867,0.0213368338550628
"39","arrowtooth flounder","temp",TRUE,-6.40305457953114,0.540701224350047,4.95136999134218,0.273712841470676,11.3544245708733,0.718650572442869,2.99573227355399,0,0.968973718237118,0.00392746545815561
"40","Pacific halibut","temp",TRUE,-9.33438084511085,1.4342188369489,8.52390732462,0.873768061045056,17.8582881697309,2.17491284954426,2.99573227355399,0,0.987457608926933,0.00305500810039101
"41","petrale sole","temp",TRUE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.04510156258649,0.0268786668872167
