"","species","mean_depth","min_depth","max_depth","lower95_depth","upper95_depth","range_depth","range95_depth","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon","n_year","p","min_n","mean_n"
"36","kelp rockfish",143.6,143.6,143.6,143.6,143.6,0,0,33.97916667,-118.625,143.6,33.97916667,-118.625,1,9.03179190751445e-05,0,0.0625
"37","lanternfish unident.",693.280686422414,85.6422,1271.0456,192.86965,1198.1780625,1185.4034,1005.3084125,39.8936298192188,-123.072014188281,660.588390023608,39.56560749132,-122.819967218411,16,0.179987141954581,87,116
"38","lingcod",139.831683318928,55.75,750.3,64.196475,312.287975,694.55,248.0915,41.6394488459925,-123.614425477773,157.010905678012,42.8809998972963,-124.163283958886,16,0.336687658493786,169,216.9375
"39","longnose skate",270.909116198877,56.6928,1227.1542,71.50223,684.36,1170.4614,612.85777,41.1619825805004,-123.409778757921,273.727761739089,41.7272616249218,-123.697343461611,16,0.601322619346496,279,389.6875
"40","longspine thornyhead",772.273022934549,103.9208,1271.1034,399.3798625,1212.095185,1167.1826,812.7153225,39.7838453744018,-123.012816598114,863.628750347592,40.7506954371169,-123.79216259794,16,0.358836097897366,153,233
"41","olive rockfish",86.3612,69.9,102.8224,70.72306,101.99934,32.9224,31.27628,35.61486111,-121.414583335,71.7048337264827,34.0603202284296,-120.201841113727,2,0.000223014309733319,0,0.125
"42","pacific flatnose",967.473698929664,60.9914,1271.1034,508.7739375,1238.3409225,1210.112,729.566985,40.4739294512232,-123.578689899732,1116.79211771161,40.0632079162825,-123.790964049426,16,0.129574157320278,42,81.75
"43","pacific grenadier",928.365662614446,303.7362,1271.1034,532.460375,1230.9834375,967.3672,698.5230625,41.417846868998,-123.941705945575,1120.81101803965,41.0168800854552,-124.212520062527,16,0.190336049559058,80,122.875
"44","pacific hake",290.642436957032,55.5792,1227.8694,76.253875,645.385615,1172.2902,569.13174,40.6329748115661,-123.125336020441,192.129633509055,42.4817951343778,-123.937109658116,13,0.420494291941306,0,266.1875
"45","pacific sanddab",108.203101390121,55.5792,490.6382,61.9486,209.1635,435.059,147.2149,40.3844708173026,-122.955881806785,104.397656107192,40.4195277374411,-123.003400537921,16,0.325932725291884,135,211.3125
"46","pacific spiny dogfish",179.52108582897,56.6928,1254.5466,66.86734,417.33528,1197.8538,350.46794,41.9070284080558,-123.597410703836,165.592385275574,45.2497215198986,-124.64155340508,16,0.278319307052059,95,179.0625
"47","pacific viperfish",810.062190900901,106.1463,1271.1034,386.3838825,1206.5955175,1164.9571,820.211635,42.9842912913784,-124.409449950045,806.104515047029,43.660010354369,-124.603602981145,16,0.107920612990462,48,69.375
"48","petrale sole",139.804972368126,55.5792,540.9428,63.84654,341.4047,485.3636,277.55816,41.8845039281953,-123.656358461136,139.783012851394,42.207127706183,-123.990638942275,16,0.430023129439799,198,278.4375
"49","pink seaperch",97.5809957007739,55.75,276.3667,60.416965,172.528885,220.6167,112.11192,35.8774651284093,-121.178818668229,87.5204901712407,35.0006518121089,-120.242938806131,16,0.111802294473914,37,72.6875
"50","plainfin midshipman",108.555100701754,55.75,463.646,61.68636,219.45926,407.896,157.7729,37.140208382014,-121.810425146133,119.168709100621,36.5038806120068,-121.845209778271,16,0.136195507778382,47,89.0625
"51","quillback rockfish",98.0352559322034,60.8724,398.1441,64.46,152.32,337.2717,87.86,44.8554048972881,-124.542735404576,90.4816130175789,45.1027478077489,-124.645165376656,15,0.00550147747866937,0,3.6875
"52","redbanded rockfish",273.614993601896,83.4957,550.3712,149.7830375,406.6978025,466.8755,256.914765,43.6426839786019,-124.364531990498,263.353213269861,44.8591135051116,-124.658908676509,16,0.0823302524138839,37,52.75
"53","rex sole",232.286333905115,55.5792,936.8734,66.098375,567.885375,881.2942,501.787,41.797494763015,-123.619272223058,251.546239733562,43.0807750337808,-124.153969520612,16,0.626219565696976,308,404.4375
"54","rock sole unident.",91.1864714285714,58.4892,140.806,60.2914225,136.961705,82.3168,76.6702825,43.41251984,-124.307896825,77.6639783435457,41.2392242904123,-124.114487051986,3,0.00155550511294346,0,0.875
